Название транспорта,Аренда по городу (руб/час),Выезд за город (руб/км),Минимальное время аренды + подача,Минимальное время аренды на свадьбу + подача
"Yutong 6938 39 мест белого цвета, 2021-2024 года с водителем",от 2460,91,4+2,4+2
"Yutong 6122 51 место белого цвета, 2019-2024 года с водителем",от 2850,105,4+2,4+2
"Yutong 6122 53 места белого цвета, 2019-2024 года с водителем",от 2850,105,4+2,4+2
"Yutong 6128 53 места белого цвета, 2021-2024 года с водителем",от 2990,111,4+2,4+2
"Yutong 6122 49 мест (с туалетом) белого цвета, 2019-2024 года с водителем",от 3070,114,4+2,4+2
"YUTONG 6121 (57 + 7 мест) белого цвета, 2019-2022 года с водителем",от 3200,118,4+2,4+2
"Yutong 6127/С12 (55 + 6 мест) белого цвета, 2023-2024 года с водителем",от 3200,118,4+2,6+1
"YUTONG 6128 51 место (С ТУАЛЕТОМ) белого цвета, 2021-2024 года с водителем",от 3130,116,4+2,4+2
"Scania Touring 51 место белого цвета, 2019-2021 года с водителем",от 3250,120,4+2,4+2
"Scania Touring 49 мест (с туалетом) белого цвета, 2019-2021 года с водителем",от 3420,127,4+2,4+2
"ПАЗ Вектор Некст (25/41 место) белого цвета, 2019-2024 года с водителем",от 2300,85,4+2,4+2
"ПАЗ ВЕКТОР НЕКСТ (30/48 мест) белого цвета, 2021 года с водителем",от 2610,96,4+2,4+2
"MB SPRINTER W907 VIP 19 мест белого цвета, 2020-2022 года с водителем",от 2070,77,4+1,4+1
"MB SPRINTER W907 16 мест белого цвета, 2021-2022 года с водителем",от 1970,73,4+1,4+1
"MB Sprinter W907 15/19 мест белого цвета, 2020-2022 года с водителем",от 1970,73,4+1,4+1
"MB Sprinter W906 15/19 мест белого цвета, 2018 года с водителем",от 1970,73,4+1,4+1
"Toyota Hiace 9/12 мест серебряного цвета, 2020-2022 года с водителем",от 1970,56,4+1,4+1
"ГАЗель NEXT на 19 мест белого цвета, 2022-2024 года с водителем",от 1970,73,4+1,4+1
"Ford Transit 19 мест белого цвета, 2021-2023 года с водителем",от 1970,73,4+1,4+1
"MB Sprinter грузопассажирский белого цвета, 2021 года с водителем",от 1570,58,4+1,4+1
"MB Sprinter фургон белого цвета, 2018-2019 года с водителем",от 1610,59,5+1,5+1
"Mercedes-Benz Vito чёрного цвета, 2018-2021 года с водителем",от 2090,77,4+1,6+1
"GAC GN8 (6 мест) чёрного цвета, 2024 года с водителем",от 3360,124,4+1,6+1
"Mercedes-Benz V-Class чёрного цвета, 2020-2022 года с водителем",от 3360,124,4+1,6+1
"Toyota Alphard чёрного цвета, 2019-2021 года с водителем",от 3360,124,4+1,6+1
"Volkswagen Caravelle белого цвета, 2019-2021 года с водителем",от 2090,77,4+1,6+1
"Hongqi HQ9 чёрного цвета, 2023-2024 года с водителем",от 3360,124,4+1,6+1
"Toyota Camry чёрного цвета, 2019-2023 года с водителем",от 2150,79,3+1,5+1
"Mercedes-Benz E-213 чёрного цвета, 2021 года с водителем",от 2150,79,3+1,5+1
"Mercedes-Benz S-222 чёрного цвета, 2020 года с водителем",от 4100,124,3+1,5+1
"MERCEDES-BENZ S-223 чёрного цвета, 2021-2022 года с водителем",от 7920,293,3+1,5+1
"MERCEDES-MAYBACH S-CLASS чёрного цвета, 2021-2022 года с водителем",от 7920,293,4+1,6+1
"Hongqi H5 New чёрного цвета, 2023-2024 года с водителем",от 2150,79,3+1,5+1
"Hongqi H9 чёрного цвета, 2023-2024 года с водителем",от 3360,79,3+1,6+1
"Москвич 6 чёрного цвета, 2024 года с водителем",от 2150,79,3+1,5+1
"Hyundai Sonata чёрного цвета, 2023 года с водителем",от 2330,86,3+1,5+1
"Kia K900 , 2020-2022 года с водителем",от 2150,79,3+1,5+1
"Genesis G80 чёрного цвета, 2019-2023 года с водителем",от 2170,80,3+1,5+1
"Genesis G90 чёрного цвета, 2021-2023 года с водителем",от 2870,106,3+1,5+1
"Hongqi HQ9 чёрного цвета, 2023-2024 года с водителем",от 3360,124,4+1,6+1
